protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TNNI2 TNNI3	-0.369462445536522	17.303456734521	13.2780569771476	-1.76203611766241	18.7702218539261	13.7104961364821	-0.87306202130678	18.2813970131321	13.7879308005666	-0.959101009044446	18.3200927763813	13.8199149922713
TNNI2 TNNT2	-0.0686776532930617	16.3736584086939	11.414052238193	-0.419064828441878	15.5465262023774	11.7378494023027	-0.133602060458957	16.3031374932757	11.7571134849996	-0.204751760364179	16.1916294540898	11.8043455971261
TNNI2 TOP1	-2.17468856430279	19.0418039799215	14.3048964237157	-10.7013161021457	20.9845685246471	15.5943260831066	-5.59187987984941	20.4316059464797	15.6301867878219	-5.67343694741434	20.3195463490788	15.3945177508175
TNNI2 TP53	-1.9753873807483	19.7835094178607	14.6810541162743	-14.5243800144781	21.4004059371947	16.1247103901538	-8.99194111034345	21.498556012732	16.4590970542605	-7.02724896972819	20.8468409226024	16.1036143551942
TNNI2 TPI1	-6.22865413393646	20.5586789130566	15.5119185892651	-5.04242577948672	20.3200363248578	15.1002356804182	-6.77691790321622	21.0098115470253	16.2027314334571	-6.71295393718324	20.6520197123372	15.7729199918966
TNNI2 TPM1	-10.8140383961481	21.2507888592499	16.3994602477754	-15.1285691065182	20.9913780438673	16.1561341373412	-18.7629757704549	21.3507661866043	16.6994334821294	-16.562642879878	21.3076031960499	16.6986811746851
TNNI2 TPM2	-13.419432690598	21.6259868760831	17.1408330186303	-20.1029303696276	21.4987823197279	16.4246760494031	-22.4063244363952	21.837796126346	17.1384609975721	-20.0526353829437	21.763021666572	17.0209730655867
TNNI2 TPM4	-3.86170056480891	20.8360579754612	15.714538163647	-12.6351384394355	21.1922902804999	16.246741957267	-6.52757946045057	21.5398753105428	16.4842130607049	-6.80902417937919	21.2525451603341	16.4063784200753
TNNI2 TPO	-6.39542121352313	21.273213561011	16.5986714676793	-8.77404844208075	20.5710142518583	16.0003498651334	-11.5600949561544	21.532676898728	17.0744314708885	-10.1620754601164	21.2173683409248	16.712682789513
TNNI2 TPSB2	-6.09881099976892	19.8834447649442	15.8156014191578	-8.23032885303057	20.5245629490166	15.3055582993191	-10.2635129161788	21.0489748118601	16.4773307314394	-8.00606007663546	20.5140318349536	15.9420906239719
TNNI2 TPSG1	-6.0902663841146	20.3131857640595	15.9411444993938	-9.30036744878014	21.0015285660671	15.234645400482	-7.425730288698	21.1961875132487	16.1724241219643	-10.0768976200006	20.9943600560501	16.280140940259
TNNI2 TPT1	-6.65308737760934	21.2333499333305	16.0949785011684	-5.4452242312048	20.7873888526734	15.3320364169464	-8.09525568227939	21.4868623315144	16.4551782261187	-6.90870435747525	21.2783189302441	16.1486909675359
TNNI2 TSLP	-4.41691616070311	20.5551884170652	15.7630505562663	-1.99370417705649	18.9047651511146	13.9858590333459	-3.01218312184881	20.7003628602507	15.8771356775442	-3.19154442807889	20.0627989702454	15.2564321893026
TNNI2 TXNDC12	-6.85715940237056	21.5648065057696	16.1762402095659	-3.01468303953781	18.8972966773963	14.3579284090992	-8.46646289626668	21.1635655283611	16.3741071520776	-5.61079682890722	20.6181718552686	15.7535017826441
TNNI2 TYK2	-7.23548044306568	20.2526527349284	15.6816022959457	-7.22430334174481	20.201364353696	15.2025530121457	-8.99342209425621	20.6523525463151	16.0472481983977	-9.2783510516548	20.6619814916516	15.9530651952967
TNNI2 TYMS	-6.56564552958154	20.9267107565378	15.9047204345445	-12.0582947094575	20.5106310328164	15.7487746405464	-13.8644836175655	21.4295253704902	16.5354651449428	-9.82001011832349	21.0603086371525	16.2454646113261
TNNI2 TYRO3	-4.07948392335185	20.132632266114	15.8728099887679	-3.52993725906413	19.5691067346285	14.8403403452309	-3.77809761806527	20.4797369358237	15.9800306572487	-3.20721311663238	20.1272090008664	15.6381818209239
TNNI2 UBB	-10.7237351781029	20.9934142814266	16.3529370488893	-15.9409808452464	20.9595616494361	15.9823003217568	-11.9125951754132	21.3376500724962	16.4692266927301	-14.2830606918268	21.2296854490335	16.5643360317558
TNNI2 UBC	-1.70119152009581	18.4716703787871	13.6889359054711	-3.61554361392529	20.3431839468582	14.4272777545096	-3.15680752917683	20.1065969127749	14.740076953688	-2.8348603758062	19.8783649606014	14.5175954291708
