protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TNNT2 TOP1	-0.577207778583676	17.4166231216802	12.027026197322	-0.207543961083621	15.8646554731515	10.939814394298	-0.70035138683641	17.2885691977157	12.2291266004481	-0.38877429029732	16.8891451349623	11.8263907051649
TNNT2 TP53	-0.160020225629861	16.5763109899004	11.8464244704951	-0.544284428424385	16.5519576543321	11.6821994458561	-0.849078691981396	17.640787043098	12.8858732360967	-0.409021397497178	16.8170559254624	12.0333722809136
TNNT2 TPI1	-0.456169785614951	17.177402547244	11.8494766826442	-0.0835960744963273	15.1663991498619	10.9614847116946	-0.398558435834273	16.9919010682034	11.9614018736367	-0.284345849729513	16.3334906142572	11.6388805126319
TNNT2 TPM1	-0.491755474076032	17.3157867700269	12.4764340601897	-0.5805780248926	16.2925932926174	11.8853768519768	-0.821010980910734	17.7692779719221	12.8964194625354	-0.552110273813532	17.0364665598862	12.4322773083808
TNNT2 TPM2	-0.339899911171465	17.2676936820782	12.3913195555808	-0.354326884773165	16.7544810319406	11.258357499499	-0.665080281384531	17.7415758415459	12.8592456724546	-0.415885401108784	17.2435437913269	12.2003158456021
TNNT2 TPM4	-0.519418475020192	17.5094868933903	12.2300870734683	-0.278806131866839	15.6270775088953	10.9845038955632	-0.608079521270694	17.4272935896562	12.3479290274966	-0.363229972694161	16.8313429970281	11.8668554059955
TNNT2 TPO	-0.426931475445685	17.4626048933307	12.2192767912702	-0.480884382664124	16.6214104657822	12.1812920669898	-0.881063101972248	17.9616355890413	12.9217798055236	-0.469251539865289	17.3950445097601	12.4543917769441
TNNT2 TPSB2	-0.346219929955926	17.0420567668486	12.1832217847658	-0.466170944205164	16.0159727349956	11.655336367974	-0.684398443262068	17.3862857349022	12.6815314502502	-0.404408921617133	16.7899737852063	12.2202336339973
TNNT2 TPSG1	-0.42799163045382	17.1236499297466	12.3892674016095	-0.637688391190396	16.5051767508709	11.6296804444844	-0.658542940498692	17.4426479532579	12.7060859785403	-0.48577921319567	17.010423947472	12.4025146156034
TNNT2 TPT1	-0.498280973304847	17.5643953808732	12.2708766461803	-0.0637603147642876	14.9132759225169	10.5936204785648	-0.448833338714641	17.3338378170218	12.1788630194729	-0.310628780668825	16.6066185081218	11.7407259825338
TNNT2 TSLP	-0.395986970730482	17.3213772366933	12.4557794480536	0.0861684662875395	15.2512233212309	11.1237178555804	-0.331211945958657	17.0845052878639	12.4402222510323	-0.182977315927717	16.463863963566	12.0812622366912
