protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TPM4 TPO	-4.04145459078718	20.8183306533124	16.4197373790455	-5.99623907033117	20.461744285509	16.1999971640471	-7.16581540095462	21.1661618597217	16.8328055424228	-6.34170214002678	20.8777602029214	16.6438565700517
TPM4 TPSB2	-1.82987198036079	18.3290866000236	14.2966982838915	-6.61213839596217	20.3471870750563	15.6297924214154	-5.34980126800371	20.4710418755588	16.073397175374	-4.61512155169907	19.8874796298284	15.5318089216214
TPM4 TPSG1	-2.22529837130929	19.233690026045	14.9163499176106	-9.17238755995405	21.4486650060255	15.934414817217	-5.90984896125469	20.7438373677691	16.1709568471384	-4.97477839075191	20.6119087702451	16.0151695837327
TPM4 TPT1	-2.94789628232994	20.2365116453951	15.6787396196276	-1.99290178539411	18.5675423269987	14.3896396126478	-2.02406995737404	19.180801544977	15.2374901024272	-2.51539816284582	19.6211924162601	15.2542823366544
TPM4 TSLP	-2.79678172911756	20.0345834483771	15.5320895494502	-1.56388368693934	18.5337300286168	14.0128815393755	-2.29155521447926	19.5380341625802	15.4270507267976	-2.28670957418821	19.4659681750958	15.1834795119559
TPM4 TXNDC12	-5.1392064122045	20.4747835532551	15.612914709163	-3.20114465698581	19.3957655393402	14.7328554103348	-5.22258819109717	20.8583997202784	16.2709194296003	-4.65192617303819	20.1903555382655	15.6965315500491
TPM4 TYK2	-3.06340474695019	19.9102155838017	15.3386142613111	-5.02673911995225	19.6192142564305	14.9092124431957	-4.75765305002556	20.2319283455507	15.7269752157018	-4.03683043991953	19.9148504176838	15.3933466681764
TPM4 TYMS	-3.06415577548802	20.5938419807391	15.498091660695	-10.1111117068964	21.3931685954934	16.2955913435371	-11.4628235111327	21.4184514714797	16.6155341975691	-5.30349779362884	21.0919164288339	16.1088007714309
TPM4 TYRO3	-3.52886000870116	19.1502957891612	15.2206732240304	-6.72667815338713	20.0730067539311	15.7534113374801	-3.56146333341375	20.2608122791197	16.0763654620942	-4.24096076205701	19.8121056893468	15.9001852905887
TPM4 UBB	-3.50756354182728	19.0083599627976	15.1879913568268	-11.6418755280355	21.2169838250668	16.4214129825404	-7.81500641653887	20.8185370197397	16.3690377844707	-9.07156105565293	20.5069467239866	16.2899505226948
TPM4 UBC	-1.56449620514477	18.4998926850343	14.2985046566993	-2.822140698732	19.4837320293249	14.1948810589439	-1.85112030391025	19.439850357759	14.7487099975767	-2.27635819374563	19.2675157086258	14.5770506799826
TPM4 UBE2G2	-3.03275436157464	20.1804633031891	15.6876435725038	-3.88401327389933	20.0305745431749	14.9356630988454	-6.30412159633583	20.564136674632	16.3470190928784	-3.97889862318086	20.1787100097663	15.6532759114149
TPM4 UBE2I	-2.69589914106809	19.4157146095725	15.3057087182114	-1.99461828066673	18.474422394553	14.5183222822885	-2.28413736243254	19.084052053135	15.2262848088314	-2.29744308886335	19.1410822536002	15.2427194422149
TPM4 UBE2L3	-1.92692083251192	18.8706936740358	14.8881760375886	-1.53079912969258	18.4300322047969	14.4622377064388	-2.46266113367712	18.9444479055381	15.2513262629052	-2.19206683500517	18.9231581919635	14.9058263454684
TPM4 UBE2N	-2.18785957294488	18.8375721265908	14.8706981513713	-2.31998831302273	19.5046598908293	15.0327084307561	-3.11446454085347	19.6471070771333	15.5989708139338	-2.42057337710991	19.3934665730657	15.2768460109746
TPM4 UCHL1	-6.09704262333959	20.6430291065155	16.4462002206281	-46.2106084619227	21.5506447740747	17.0253581046122	-10.1755321981868	21.0710976320861	16.7702088814722	-11.0086467530426	21.2228526603437	16.9410448814355
TPM4 UFC1	-5.51701284589186	20.6988609445327	16.4823194962399	-5.48332053437533	20.758290997733	15.6537132139094	-11.0355512415692	21.3037980895855	16.8869039141227	-6.77824556162662	20.9950731421931	16.3136479872824
TPM4 UFM1	-2.88021071110198	19.4365687398705	15.478144028406	-8.49744722782646	21.0628664668148	16.1830362317404	-8.3202025014805	20.619470523829	16.5887375395802	-5.21681452384787	20.5014572621735	16.095321070875
TPM4 ULBP1	-3.22535705208812	19.9493108742253	15.7398477512554	-15.4532328283485	21.4124238160738	16.5189899444839	-9.10407514905506	20.9900321918493	16.6128993689285	-6.68358460376766	20.7430814379174	16.3361577297397
TPM4 ULBP2	-4.10321008869422	20.7421441481256	16.2969362441418	-11.9311782840703	20.6157790839428	15.7593758633486	-11.7856795652942	21.1971825505081	16.6834483018668	-7.46234805919771	21.0335220767781	16.5451282216989
TPM4 ULBP3	-1.26214194526789	18.5804255468287	14.5356607310645	-1.37624106087209	17.7324163261408	13.7155415457313	-1.34711371517112	18.2315949371117	14.8491758298529	-1.51796159316529	18.4903809285519	14.6067279374689
TPM4 UNC5C	-0.269189882926056	15.7836496388155	11.8582435425662	-0.24961840421162	15.6117538637324	11.4007033212714	-0.131419182263429	16.0859695925132	11.9831313722466	-0.221292556904907	15.9595982087855	11.9792706185606
TPM4 UNC5D	-2.4849134527317	19.3238664163921	14.9293764420409	-6.93446791236363	20.4029501860637	15.3677934273193	-5.62857889028697	20.4990345629238	15.7595747070748	-4.53203336694892	20.2514367395666	15.459225394307
TPM4 USP25	-2.824796300871	19.3892864066987	14.9558679227561	-11.3785322985339	21.2813183657064	15.8115128553404	-7.05223599059733	21.2433707633695	16.5558433177457	-8.18990915599115	20.7430356658706	16.0008145012508
TPM4 VAV1	-8.50348328928985	20.6511237216098	16.3647693635997	-5.25978560033224	21.1787578605797	15.8388226450627	-18.5256393527422	21.9406287420595	17.1670751837348	-7.88914713026784	21.1899945430991	16.4061559524895
TPM4 VCAM1	-2.26704876174079	19.0552736206457	14.514865075179	-3.17563799253433	19.635382006631	15.1026477790542	-2.67575504616528	19.4912601715322	15.0221402761013	-2.82386971816216	19.5241397357402	15.0219228286355
TPM4 VEGFA	-0.464596521765154	16.6544579195359	12.6508094748353	-0.290331320521439	15.8824638770019	11.7208777101928	-0.320088905028215	16.4452140634796	12.3320041695715	-0.304877688693629	16.4773564218479	12.3468594049718
TPM4 VEGFA.1	-5.50443990832848	20.4620125398381	16.112132211946	-3.01673911193543	19.7396795559142	14.7884207141148	-3.46473055655895	20.2455171000478	15.9752205160533	-3.66724854250486	20.1105511995425	15.6627847701531
TPM4 VEGFC	-0.843239796457754	17.7043206250928	13.6650869881233	-0.383545556700193	16.2171699615223	12.0908217078095	-0.754477060788334	17.1667426771425	13.1243804576821	-0.624206591947846	17.3693323475222	13.2662785822079
TPM4 VIP	-2.67504613725502	19.0793822044414	15.0688524760641	-0.673804139190496	17.9479389268107	13.1869747510506	-1.39827768199232	18.7450829364843	14.7400157636738	-1.53954131926526	18.5951405260536	14.3616292663742
TPM4 VTA1	-5.30547251137257	20.4628645024819	16.3186524598804	-4.3623020330669	20.578124087407	15.5683746481696	-9.19126845347192	20.6309020005489	16.6837007642025	-5.06710944078225	20.6832555808275	16.2351842397563
TPM4 VTN	-1.63442029324985	19.3339135727452	13.6446530958735	-4.00991341527571	19.7660714445545	15.2407292525213	-2.13214848086839	19.62081055191	14.7796268147064	-3.07067970779364	19.8442888677444	14.8020890251075
TPM4 VWF	-6.43030763802625	21.1500129633942	15.804209241171	-14.4154109816781	21.1436458171097	15.8360035341676	-7.80913615997416	21.3396276129535	16.0143052016319	-9.21594252477404	21.415136332193	16.0686616361936
TPM4 WFIKKN1	-2.28740156657294	19.0921394668886	14.6572069504116	-3.53018869346287	20.0312193516201	14.8657489449799	-2.93443022879525	20.3063536848019	15.3812420512793	-2.59355611391229	19.9900953173238	15.2982479107442
TPM4 WFIKKN2	-7.70232459390068	21.0754534283147	16.2908884574977	-8.12172318002164	21.1111563864542	15.4424771585544	-11.1578998490174	21.7606294454059	16.5409843984014	-9.25448377113291	21.2793539283721	16.1303284978582
TPM4 WIF1	-3.00439687186399	20.1790992839261	15.9314868749527	-5.53314153267418	20.5196175335369	14.6629339424479	-8.83455942840506	21.8152606547777	16.5829144353601	-4.74206240843615	20.7151125433196	15.7197384558224
TPM4 WISP1	-3.56045438451852	20.104194630475	14.8629905298131	-3.48920337687674	20.0231381836051	14.9378346684755	-3.28030374880279	20.4824570660491	15.2619590633051	-4.21850619153441	20.4121727188194	15.3299279652492
TPM4 WISP3	-2.34693145799398	19.0624261844745	15.0834424236679	-6.55901163209759	20.8517519648068	15.578801444075	-8.06658021017562	20.4904594662098	16.2090286645852	-4.84340825638969	20.1384224033582	15.7726049329286
TPM4 WNK3	-3.75918490721922	19.7637359577307	15.4110959196972	-6.91252913044286	20.4202830985102	15.9538025290993	-4.00894730310159	20.9291445268516	16.4446678512199	-7.0289056160399	20.5209880756012	16.2475474503458
TPM4 WNT7A	-4.74770320854803	20.2648554623994	15.9670752150572	-4.86763426701097	21.1365568968225	15.4827659667783	-9.85969544362533	21.0666715315564	16.4099692418388	-6.90649207126181	21.0225875942569	16.2212672158978
TPM4 XCL1	-2.15970698611812	19.9096688956034	15.1453526546157	-3.55388431148597	20.221542062281	15.250200688296	-3.16846166622247	20.2237820340286	15.6979703188371	-3.1221928127122	20.1248623992809	15.537747195776
TPM4 XPNPEP1	-1.77021957462524	18.6977499348234	14.7108918093799	-5.61128644896853	20.4487222983983	15.2420701974353	-4.05631884557011	20.4844279179913	15.7338712137409	-3.61652605294901	19.835431844617	15.4442535428733
TPM4 XRCC6	-2.9474393658241	20.4972043212201	14.8679220691523	-3.71506310427386	21.4958119994917	14.9255695185969	-7.42974733683248	20.9636661266745	16.302852986963	-3.62405125699945	20.9911213898601	15.2219471984646
TPM4 YES1	-2.60757831235138	19.4156029699101	15.188838244113	-0.488094519164073	16.3918651091549	12.4630516731443	-0.943051982887069	18.0151304641205	14.0888160953504	-1.23814905634179	18.0988375129285	13.9999492699251
TPM4 YWHAB	-4.75473287550441	21.1522520782919	16.4424502263193	-4.30652679691148	20.4746928256168	15.9497737437337	-7.39669499808218	20.7938082788165	16.6513004536144	-4.88838003025249	20.8039619128425	16.4657677722241
TPM4 YWHAB.YWHAE.YWHAG.YWHAH.YWHAQ.YWHAZ.SFN	-3.13437539700199	19.8431558820741	15.2746731271377	-6.25304104026342	20.5717262855986	16.0935240838008	-3.54097358770043	19.9219190371662	16.1032427748814	-4.47879293825297	20.3219920688883	15.9406084592024
TPM4 YWHAE	-3.36829648851335	20.3886672571347	15.6976014092693	-2.26471096611842	19.3164382813193	14.4391188594109	-4.12333690236356	20.137584541609	15.5985840204234	-3.0320162850471	19.9289853525089	15.3565535876496
TPM4 YWHAQ	-4.92366998395549	20.5862422571563	16.3016006224321	-8.51511724984856	21.2578521171883	16.338119071225	-8.0728008472968	21.1268838480731	16.7900970037565	-6.91448133043343	20.9655172053879	16.5384095768019
TPM4 YWHAZ	-10.6264094213143	21.3236181145029	17.0705930124442	-33.1719004565559	21.6966288119643	16.9572140714406	-15.1815582218475	21.3390315372475	16.9917871762723	-16.6919667089307	21.5843640303637	17.1301084961161
TPM4 ZAP70	-4.57272423915882	20.8297500784147	16.3782160639572	-20.1734339016505	21.4458967867365	16.5186529746072	-15.8848199094748	21.260394892706	16.9484379121405	-9.68202077593891	21.3522948745629	16.7518706043582
TPM4 ZNRF3	-3.01582014990213	20.3835092006106	15.8863559176017	-8.68104368343564	20.6912039532528	15.5881478994962	-12.8515378023141	20.9081846751507	16.7512087432222	-5.09931563147638	20.7955899891151	16.0922294110256
