protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
TXNDC12 TYK2	-5.42110297074547	20.7540748460438	15.8569975500923	-3.17299940304739	18.6667672656249	14.2007773241911	-5.51063322379545	20.198027011572	15.5676009981862	-5.96434365120857	20.0630183750593	15.4831800272544
TXNDC12 TYMS	-5.17659694365494	20.4181135355782	15.5380140380971	-5.34409988423385	19.9753622885668	15.0871889260309	-12.7418161680978	20.9620406927316	16.3278167280893	-7.20818418578806	20.6224504164986	15.7882096434728
TXNDC12 TYRO3	-5.17185862665838	20.6379705663536	16.0177121599448	-2.26907906256703	18.6867272019373	14.530083493003	-4.64677019397807	20.071171905769	15.9834587798012	-4.15416413529881	19.937234308355	15.6790732741323
TXNDC12 UBB	-7.30746028040305	21.0557624808283	16.0494061119091	-5.34917288372862	19.8651550208828	14.7230177226244	-6.45713513594769	20.670741831748	15.9935527616596	-8.03239497285628	20.640470691403	15.8193526642571
TXNDC12 UBC	-1.82604946228792	19.4588636649512	14.7159412253892	-1.81144830441959	18.3527263880434	13.1008719124376	-1.90298289527731	19.175231862779	14.1895050468961	-2.0418472294457	19.219105589103	14.3014999265761
TXNDC12 UBE2G2	-5.79883150209496	20.5526397636712	15.674825203279	-4.07621251385941	18.8490199658515	14.4779992243895	-6.06977500673889	20.5604466226311	15.855375891593	-6.22997889215808	20.1113824383136	15.4763301319735
TXNDC12 UBE2I	-7.08242872050096	20.777808805982	15.7153556540217	-1.7998726643006	18.5646213003699	13.7966687677725	-4.32219743181375	20.1090330869575	15.5863734139688	-3.83358785583421	19.7971585297256	15.0941044537676
TXNDC12 UBE2L3	-6.31189784439011	20.6295360165795	15.4490828891391	-1.81562226235828	18.3895346806088	14.0392125435448	-6.69700122641528	20.482890211656	16.0842003051734	-3.34566732161373	19.7155647677876	14.9789822072332
TXNDC12 UBE2N	-6.42939850679436	20.481019702283	15.3883926382858	-2.04287055425657	18.7662235111031	13.9979412997393	-6.26718107269882	20.4614540710532	15.9267232730029	-3.9514126808776	19.7907758413891	15.0941570842401
TXNDC12 UCHL1	-10.3121990716554	21.2393259641965	16.5039112804989	-4.40984059832666	19.5747811422711	14.6826242822541	-9.16631922606713	21.0129147502712	16.5018352388248	-8.40104122056916	20.5879746250712	15.9220536706741
TXNDC12 UFC1	-4.35774997453662	20.3100392662526	15.5649736923165	-2.58970615300086	18.5155673515491	13.5265983092291	-7.05194039766309	20.740224275244	16.1016583882259	-4.76501850876996	19.7935063798994	15.2199610370517
TXNDC12 UFM1	-2.90637742192217	19.876989032864	15.2703618792845	-3.08384399942636	18.662183496831	13.907063786961	-6.48041317413413	20.7943393020819	16.0355733541126	-4.52526467407523	19.721788773575	15.137164508883
TXNDC12 ULBP1	-6.09479671325901	20.3901136031931	15.9284262560817	-5.3680498149526	19.8477528182671	15.1100126731119	-9.73156163751181	20.7031984697741	16.1940178110896	-7.23498119588409	20.3634845169779	15.8515819830875
TXNDC12 ULBP2	-11.3982212938664	21.3019255297181	16.8793043760088	-4.21067515170877	19.1392347849694	14.5881074778352	-9.9075189284222	20.8562013763989	16.4799979569337	-9.32163175436477	20.6296261866073	16.2484416900492
TXNDC12 ULBP3	-6.31657698307198	20.5698009779178	15.9155909123751	-1.11402000391131	17.6791023249815	13.2647500197918	-2.50963432793831	19.7099891665876	15.4043407068748	-2.70622423785565	19.4644185548216	14.9651066323158
TXNDC12 UNC5C	-0.511500571404708	16.4455087718125	13.1955167950801	-0.810829407104339	16.5577737909965	11.8456867942216	-0.580402845345628	16.9207989741905	12.7843027517327	-0.5235058292518	16.7173325822534	12.6607352714651
TXNDC12 UNC5D	-3.69970561662474	19.860969393653	15.2324976855757	-4.94824051828086	19.2720986393636	14.7771553916759	-4.39594800953264	20.5498347870667	15.7438222669201	-4.53759642765765	19.9225294753757	15.3243281231741
TXNDC12 USP25	-7.07213246780224	21.168015756099	16.3301399857254	-5.98470851672763	20.1169119815475	14.893828027737	-9.72240490384778	21.326906572427	16.2070502327789	-7.67359133737823	20.8711841006947	15.8791424467147
TXNDC12 VAV1	-5.81165936819725	20.7978857311427	16.3636324019407	-2.37414207658538	18.6266708070111	13.8179431237719	-9.88023046949959	21.0370534964678	16.2683707361036	-4.68211448689558	20.0267289963596	15.5104528904802
TXNDC12 VCAM1	-1.14163075037659	18.6809978749055	14.136740116355	-1.79712012293761	18.6005164507398	13.8193724671861	-1.10479175451949	19.0372229916485	14.1488161265216	-1.20955034094917	19.1136370830342	14.2040286315062
TXNDC12 VEGFA	-0.672952883574685	17.2525078399685	13.7460411932973	-0.157313838394152	15.5229799739251	11.6231287569849	-0.52292864171845	16.7230386155215	12.8500937680399	-0.540882086496378	16.6089449859863	12.9042118734071
TXNDC12 VEGFA.1	-5.32225720036545	20.8214627011831	16.1826669216878	-1.7034017872461	18.2694997378	14.2182988305028	-3.68315917486021	20.084219096839	15.8225425801231	-3.28144251552695	19.7675496455694	15.4115027918324
TXNDC12 VEGFC	-2.26354334256101	19.7631364445642	15.0772962206705	-0.864395082686747	17.065721220054	12.5769019878439	-1.8156326770881	19.2099508696052	14.7720449563112	-1.43976609660584	18.5464246744708	14.1923016002698
TXNDC12 VIP	-6.18618173782211	21.0326931989115	16.1326751588829	-1.18288943415097	18.4119758071161	13.6330818798377	-5.13733657093988	20.4336369660615	16.026002691667	-2.88308557866561	19.9010140684377	15.097870938363
TXNDC12 VTA1	-6.15555257900688	20.542228473924	15.4581037987131	-3.27258369397781	19.0572819528699	14.0150022131176	-9.3282699856952	20.6071172626899	16.1233585034692	-5.54867609687881	20.0331547339978	15.1713075672482
TXNDC12 VTN	-3.19151661293711	20.0585956665779	14.7410884490916	-1.48340900225036	17.695804072641	13.2328962601569	-2.25835123950789	19.3577857253349	14.551783180914	-2.86353092174227	19.1447432563649	14.4820555038294
TXNDC12 VWF	-10.9015250522545	21.6215250379585	16.5286426682371	-7.07431799404421	20.0944141230168	15.044579823666	-11.6720293043566	21.3782826660688	16.4540173383028	-11.2282840697131	21.134829455494	16.1750799585307
TXNDC12 WFIKKN1	-2.17360560732123	19.6297661320292	14.7245973949646	-2.50569457237193	18.8165259955662	14.0650087879125	-2.24969404316685	19.6837038490277	14.8855961414358	-2.28277008776042	19.5674417170829	14.8349223535355
TXNDC12 WFIKKN2	-9.95762701882262	20.7387357965138	16.1944091119	-10.8198795676097	20.5259393182127	15.8923345471205	-11.7172773298658	21.1795210263008	16.5040288571064	-12.5575447968207	21.0846728670767	16.3731201244337
TXNDC12 WIF1	-6.38836594267304	20.2635466413811	15.8236056932593	-4.68509208245364	20.0087476160512	15.0106225015911	-9.76435210477152	21.1771476803052	16.3879582069336	-8.06046623542666	20.4507862586439	15.8574068537509
TXNDC12 WISP1	-3.60113314977004	20.8502222673654	14.9103942470161	-3.68043040735614	19.8658483232579	14.7039913114041	-6.82043334251009	20.5572396557504	15.9652793093708	-4.6336297693365	20.490523782575	15.3365811192708
TXNDC12 WISP3	-2.54014082450429	19.0730351213721	15.068335085761	-1.95774666494761	17.7822762487053	13.7741545585879	-5.20404126170041	19.4921342764009	15.671025757204	-2.98261826547372	18.8808772834771	14.9795754853263
TXNDC12 WNK3	-11.906713950625	21.0086443029203	16.2988770029793	-2.82069944557631	18.8176281776562	14.6946442822944	-10.4732679876021	20.698058011072	16.4081331244522	-6.63833497249052	20.1958378368342	15.8243037720738
TXNDC12 WNT7A	-5.9059223823427	20.3664446636295	16.1670300208463	-4.42607739908225	19.8030084290204	15.0836318762995	-9.42587146960431	21.011456614671	16.477854687423	-7.36220117279914	20.4800240583265	16.0298605504476
TXNDC12 XCL1	-1.82199565313235	19.7472677384558	14.9829977427915	-3.73217870285196	19.0134853538211	14.4883793975216	-2.64882165479756	19.7877082276984	15.2966018679286	-2.69048631511031	19.4378006189754	14.890237356637
TXNDC12 XPNPEP1	-1.74434475095337	18.9159104242516	14.8969395938383	-3.32667782016137	18.653090457796	14.2316504904141	-4.19455483501877	20.2073681698229	15.5567164593768	-3.0068042164239	19.3111310040958	14.9058595619818
TXNDC12 XRCC6	-6.0445733566119	21.8951658790166	16.3709442592092	-2.35017011602643	18.9087133106395	13.8677781869726	-4.29303503587531	21.14003290205	15.843138160374	-4.31287659950981	20.5409299216394	15.3213858477976
TXNDC12 YES1	-6.68091029857613	20.755734552488	15.5221043842209	-0.599763810075218	16.9051320845405	12.7911125859847	-2.95337852991858	19.603831995637	15.2428833081904	-2.36052228329026	19.1469312786435	14.5483965557111
TXNDC12 YWHAB	-7.80464944993936	21.3355991204952	16.25229050888	-3.20196295910479	18.8607986682311	14.440780288792	-11.2489148220761	20.9878437944726	16.4277180712547	-6.19527683895117	20.2900317890722	15.7298168723113
TXNDC12 YWHAB.YWHAE.YWHAG.YWHAH.YWHAQ.YWHAZ.SFN	-10.0435120053982	21.4621159515623	16.4337557779671	-2.72128067685671	18.6204280283379	14.157280007955	-6.92888844908846	20.6753846368248	16.0539611794247	-5.67540282680665	20.3297861747867	15.583276869209
TXNDC12 YWHAE	-8.08234907857079	21.3075702102399	16.4134002900333	-1.9721472994178	18.4518682207309	14.1250293614226	-5.56507161873267	20.4147823142918	15.7276279622011	-4.60059953158701	20.0805434736817	15.5906317868
TXNDC12 YWHAQ	-11.6003361993292	21.1415943084632	16.2885402618883	-5.06233278789969	19.5367084196239	14.889070482489	-8.22654226310971	20.8099790424051	16.3163941114494	-8.98189357238074	20.5765665207351	15.850159686033
TXNDC12 YWHAZ	-6.73581123806475	20.7234071411782	16.1721642471921	-3.27660382425766	19.4659835845246	14.6483403305198	-9.57839531308963	20.8336612652281	16.3577116452458	-6.06505692828939	20.3171697048542	15.9263546845069
TXNDC12 ZAP70	-6.2501012533875	20.7238489289394	16.2287796090266	-8.10540545273414	20.2312560145668	15.3086389639768	-9.08072303091845	21.0109317244306	16.3049223660335	-8.40280549635921	20.701131445988	16.0236867445965
TXNDC12 ZNRF3	-3.33193043468268	20.4634013806856	15.6429084955899	-3.1873415313159	18.2697284859229	13.6915310757845	-5.09842849665194	20.2430576706248	15.652721028801	-3.69385989160183	19.6535362765169	14.9882203588679
