protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
ULBP2 ULBP3	-6.19438119421396	20.7702497319075	16.3211064208902	-2.3468955140992	19.0721872910262	14.3461728092578	-4.64207564285567	20.2697044571265	16.0817416450983	-3.98977450532599	20.226948474414	15.7405669873274
ULBP2 UNC5C	-0.139385119678412	16.009023388377	12.3130820327313	-0.531554441494293	16.6847941902196	11.8968074407734	-0.530890173284452	17.0310283132502	12.9313658524524	-0.319622283740294	16.7068658141992	12.5595124471374
ULBP2 UNC5D	-2.75737365053156	19.4561050956286	15.4377018875495	-7.3024737904185	20.5690669085653	15.3343894178914	-5.51557434914286	21.3443510593751	16.5799351185361	-5.4789345773833	20.6529661952444	16.1276875576216
ULBP2 USP25	-6.04674166357984	21.0829994749839	16.5800594531467	-3.88468591668523	20.3174716117495	14.6589593945834	-9.97140640725332	21.5482231791571	16.7795738628415	-8.93870234045941	21.0904013805025	16.3571683866114
ULBP2 VAV1	-7.10691999987335	20.8234640223279	16.8124636760214	-3.27183692814035	19.6245121832629	14.2249133548535	-10.8362100845054	21.4037491748237	16.7301888515005	-6.82687796458959	20.7383917338439	16.1095533859621
ULBP2 VCAM1	-1.1577129146685	17.6513775313566	13.994064887234	-2.26442915286016	18.733265090353	13.8883013339809	-1.43870042710553	19.2375471456564	14.867733156428	-1.60887818191886	18.8191172044449	14.4888400676906
ULBP2 VEGFA	-0.4845821121558	16.9052241112253	13.2734819530113	-0.389239364263969	15.9473619304577	11.7239968948787	-0.648619457681095	16.8481080830952	13.1147279536787	-0.553373889304276	16.8055482062592	13.095947330894
ULBP2 VEGFA.1	-10.1286758989073	21.517438656981	16.5890997973918	-1.93604001736594	18.7852914208695	14.2094740077854	-6.17683444437398	20.4951430692823	16.2271193672874	-5.35643224457852	20.5533630291848	15.9326033679325
ULBP2 VEGFC	-1.71123481587587	19.8906503728457	15.2278265027949	-0.819528481048033	17.181953338135	12.6312925591294	-1.57892668681519	19.2219078604627	14.7782771811819	-1.45601876467619	18.8485182584568	14.3704341783858
ULBP2 VIP	-8.34703945145808	20.9288154811222	16.4697611162404	-1.64826620804959	18.2092282570861	13.9347289407759	-4.50669399528338	20.5408124730567	16.030678350057	-3.31462805132507	20.1118766574162	15.652627053729
ULBP2 VTA1	-7.91417119619162	21.0009508702054	16.3166402442777	-5.08467304447443	20.0193022218746	14.6633216477021	-13.8221554989666	21.535342103909	17.1251357463246	-9.33337666995086	20.994234774335	16.2890980489981
ULBP2 VTN	-2.96592926649758	20.0809442445284	14.7327486635501	-1.92156133090747	18.2242486988029	13.5281535683389	-2.57785716545035	19.433893615159	14.6440280743973	-3.09480126929563	19.543612885806	14.6445032164001
