protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
UNC5D USP25	-1.65766712314408	18.2297106838269	13.8480520032307	-21.0533887177814	21.492331809387	16.2034030466771	-4.86148796535273	21.1044109155867	15.8252858637285	-5.37080442998899	20.5085209585643	15.4534995245621
UNC5D VAV1	-2.72510847766854	19.2936242215054	14.9909965110246	-4.35073957002632	19.9386687624119	14.7322512841651	-5.64788250444359	20.6272706952781	15.877922316981	-4.08451927512526	20.0493741330781	15.3409476566656
UNC5D VCAM1	-0.635282826827466	17.1313169671808	12.8406977019381	-2.02524578566848	18.8618163106244	13.9751196685207	-1.51338191833681	18.4859588670896	14.1412073744126	-1.44754126187981	18.3462045126676	13.8922973294487
UNC5D VEGFA	0.202755181999022	14.3355089872896	10.8672570140752	-0.0691903046628541	14.725637812078	11.3396583998466	0.20434018480371	14.8100705757474	11.4547614555329	0.0541553217185591	14.8220857325956	11.5559697355409
UNC5D VEGFA.1	-2.46819028386797	19.2153412473564	14.675936132299	-3.67615022703154	19.5759055337857	15.0747200962726	-4.80232162938829	20.1752894211993	15.753374111501	-4.26063104907519	19.8514599851629	15.5014128446723
UNC5D VEGFC	-1.072864123587	18.037742999815	13.7013267320486	-0.402349872547199	16.714298862164	11.8535946939103	-1.06995867530447	17.7615406102403	13.2988044279317	-0.882486833312999	17.7196203062798	13.1809480720302
UNC5D VIP	-2.65371154609613	18.9637955447283	14.6009364329477	-1.64366829771615	18.8052035949852	13.7470086275854	-3.31133487456337	20.1127625320467	15.394332283582	-2.69453951247249	19.180754738272	14.6206712421112
UNC5D VTA1	-3.91766747724247	19.52765918924	15.0708750633535	-4.06404753439615	19.2290133895006	13.9908738685423	-6.90813688947377	20.7779049295941	15.9728084317667	-5.00595806787343	19.9779564426379	15.0726149994171
UNC5D VTN	-1.33559409361045	19.1687819923013	13.4885127116837	-3.51761848488865	18.973219486751	14.2260935029235	-3.23849740107243	19.6139732143913	14.6387251599471	-3.12895847835038	19.6385406022187	14.4414979355129
UNC5D VWF	-4.7238888156124	19.9979120278922	15.1565923981033	-12.5463181164267	21.082905751521	15.8428738643051	-9.60818649119978	21.4844429442788	16.455887498831	-8.55286606828262	21.0017623181338	16.0086046796232
UNC5D WFIKKN1	-2.22001505151023	19.7526377699141	14.1971811750208	-5.36538189040806	20.0943201531095	14.8454938333671	-5.31269520810624	20.6777227053504	15.763287053783	-3.59241330735886	20.125164760994	14.9389543089844
UNC5D WFIKKN2	-4.01047025492643	20.3040010883972	15.4218018103033	-9.23470003533905	21.2200444542244	15.4924918448345	-6.24192758620704	21.3568384390975	16.2982099153735	-7.66946610494513	21.0736754109513	15.888604035261
UNC5D WIF1	-1.73857143756205	18.4972951864656	13.8212278232923	-8.71120095090209	21.5376527389625	16.0794299151952	-8.13589896045702	21.6040696319888	16.5812901241863	-5.11306498861108	20.3973204254312	15.4616674287417
UNC5D WISP1	-2.87226259904856	19.868754977346	14.8386662271638	-3.62895692271753	19.2897544197448	14.8631459985365	-3.89817783535811	19.9643419319079	15.3619047845139	-4.04525845553995	19.7688537648906	15.131509228108
UNC5D WISP3	-0.834243059667507	17.3134133233467	13.503423934952	-12.4192435529323	21.092569675086	16.2496541491108	-2.96847234100008	20.0713246199215	15.6039145148038	-3.21410861620536	19.6662673171414	15.30893691948
UNC5D WNK3	-2.89518328629973	18.8641870865767	14.4545549540595	-5.67507069062828	19.5903705627184	15.2137948323533	-4.83072468809016	20.7871355724613	15.8871385135326	-6.04782858451281	19.8180626850808	15.4346303825534
UNC5D WNT7A	-4.90772174290078	19.5807458761336	15.6542136755733	-18.6519908151767	21.4387449214398	16.2229261742142	-8.81519691471136	21.4248834991278	16.4697756414369	-9.07685392958902	20.8688102604251	16.2763909889518
UNC5D XCL1	-0.840410259743278	17.8238302058479	13.5784399723725	-6.30474411680803	20.4370260539139	15.8985473285311	-2.47594365213128	19.9098797393108	15.4334110346372	-2.60974405594751	19.5135804046064	15.1559906685626
UNC5D XPNPEP1	-0.832829068849889	18.8383208824063	13.9085822086043	-5.14741274165489	19.4935915110112	14.4660144514433	-3.0158972405829	20.0351413504315	15.1026438405896	-2.56018015406901	19.5448661850686	14.7545554366287
UNC5D XRCC6	-4.10277994666032	19.9359058187478	14.7406084564124	-4.27334736265127	20.2627933751045	15.149555855357	-6.29050813366565	21.2910156903242	16.1298952705997	-5.55932781459873	20.5692550720437	15.5761125506719
UNC5D YES1	-2.33565774744852	18.9129364670573	14.3637350870896	-0.848871723493861	16.9990485856756	12.1619203049442	-2.04103900675201	18.5482060308535	14.1826933195202	-1.9230360985907	18.5961235695912	13.8216496052009
