protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
USP25 VAV1	-3.11278547299436	19.472870119425	15.4230356604726	-3.9516007190116	20.6291754516546	14.4839642480752	-8.51780737260313	21.4826856997531	16.484117964416	-4.49898393572194	20.6233427006303	15.3421740614346
USP25 VCAM1	-0.977251339071829	18.2506112436769	13.5644479202638	-2.71098391860046	19.623122573176	14.6758380785228	-1.42733859344398	19.4543579118517	14.7432195746993	-1.67690087186791	19.233700805647	14.4774597461723
USP25 VEGFA	0.161237774909182	14.6344132965759	11.3383471327537	-0.490695353084825	16.5226386917276	12.4592996286534	-0.372014477953837	16.5512882506691	12.7848395136374	-0.235864123545993	15.9983880565809	12.3115569995895
USP25 VEGFA.1	-7.41530808066078	20.2535096667735	16.2883305988241	-3.99977815010531	20.1533558416858	15.0708739972897	-6.61568130123903	20.7880383960211	16.2990957494376	-5.82766342638584	20.5133007894137	16.0402917177574
USP25 VEGFC	-1.54960376168778	18.9561623424747	14.8778923396618	-0.735175621896847	17.4028662026687	12.0511283115539	-1.52468660155861	19.3960045480447	14.5984809263914	-1.54269971449784	18.4469285648923	13.913066365952
USP25 VIP	-6.68988278697231	20.4553038611152	16.4253707345646	-2.71886694877344	19.3264543100069	14.0699623739933	-5.93324604860109	20.8739191532982	16.1191941253702	-4.97338323632567	19.9975252601864	15.4935262199289
USP25 VTA1	-3.29688243911708	19.7865049022028	14.5951226305486	-4.97444131759655	20.5729722980703	14.9638229315431	-9.37450568374512	21.5079148630309	16.5438900620092	-6.53965970357753	20.6923798229226	15.5624163191994
USP25 VTN	-2.58313489468921	19.4096922270094	14.3771887754383	-3.81485415290874	19.3430659939019	14.2010075338818	-3.86859844466617	20.1777565077033	15.0520838402841	-4.44659023198669	19.9719208407437	14.871200786626
USP25 VWF	-4.05522785946721	20.0813061787881	14.987313456314	-16.0775658937438	21.7320939934037	15.9641718563488	-15.3857396365221	21.9520754035124	16.4748002167348	-10.9879963910871	21.3331697978987	16.0093763271591
USP25 WFIKKN1	-2.63776424474757	19.1204752522672	14.5536721537873	-3.89331845730195	20.7405252143531	14.5143299242922	-3.67323561285141	21.0451038964278	15.6144053898552	-3.17055866805866	20.45486382163	15.0236240225251
USP25 WFIKKN2	-6.24749492824224	20.5811771596166	16.126990470911	-14.0248712512775	21.8804618266416	16.0897278040449	-21.6895939021652	21.8938086255421	16.9762523066273	-12.7772742262322	21.4299937881115	16.4369654356189
