protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
VEGFA VEGFA.1	-0.269609615871359	16.401673144832	12.6229927365294	-0.432019444747876	15.9470236658338	12.2213160385334	-0.433970213863757	16.3451008676379	12.6937949385057	-0.497741478105013	16.431690300041	12.767001889429
VEGFA VEGFC	0.195146531717733	14.6165526694275	11.4282520729864	0.249593801997307	13.6172271302657	9.91753197759852	0.02820342056916	14.95084366865	11.4629260836841	0.185033900182122	14.3049250306838	10.9699310011788
VEGFA VIP	0.0713549318146588	16.0688652111817	12.5460741413735	0.268779966536867	13.5008944882371	9.97612091840222	-0.0190171397720349	15.4462000946847	12.0572726541637	0.0459281448456105	15.0910512161112	11.6532235464185
VEGFA VTA1	-0.662444012274853	16.3617116834284	12.7730165155456	-0.134690314491521	15.290536595322	11.0548360308602	-0.37354570608065	16.548126116363	12.3901991969062	-0.312540988073344	16.061476304395	12.1080082746773
VEGFA VTN	-0.362838188568248	16.451947447745	12.0565342599105	-0.0757984827778244	14.8559092439279	11.3559350089231	-0.0758709592704621	15.4861149103222	11.9313404266032	-0.247571305206984	15.8106422208801	12.0310044500953
VEGFA VWF	0.0479409694312566	15.8511225236742	11.5111153242381	-0.0889971061558896	15.3340266855242	11.2010424022362	0.0811594942510225	15.6894724754632	11.5371386002814	-0.0484030622496385	15.8513018868119	11.6937029513501
VEGFA WFIKKN1	0.0779909060021978	14.6755390771858	11.1206546821238	0.00882822057093235	15.0921857118246	11.3524141200702	0.0251147329297661	15.7160798927573	11.941284204725	-0.0148691263529386	15.1479709839066	11.5563177005662
VEGFA WFIKKN2	-0.079998344836586	16.4561737349972	12.823338537497	-0.663419287891677	16.2060380417302	12.2714838136482	-0.39099908878015	16.4418685238151	12.9532123371929	-0.402923883289893	16.6657934991869	12.9123436895496
VEGFA WIF1	-0.282817630887392	16.2562507162316	12.6481370999579	0.114626663179991	14.5165243889527	11.4701672102265	0.0577319313145555	15.7881583389079	12.3271247858851	-0.165466608295213	15.7451528873078	12.4663563913407
VEGFA WISP1	-0.158276071325482	15.7801132981919	12.306422948064	0.0334966455491611	15.0165942667488	11.699511983168	-0.243881173964686	15.9151458431945	12.6782141650961	-0.139407241331611	15.810740122528	12.3992630100477
VEGFA WISP3	-0.149888604928897	16.0803581069512	12.688418750453	-0.344756372831911	15.8689083464063	11.9601951817322	-0.306988855853088	16.5176669140678	13.1090025877409	-0.341917325731879	16.2553359191667	12.6320200736842
VEGFA WNK3	-0.301849625471739	16.6693235317965	12.8443648914301	0.11496535383132	14.626979115586	10.670158264892	0.00338835918090485	15.9623815005617	12.2825999241315	-0.136289326973918	15.9577103895619	12.0708108875871
VEGFA WNT7A	-0.217810797963817	15.8139930001535	12.6836601277007	-0.921887933342362	16.6054575080065	12.7412577581193	-0.804837338936389	16.889675470201	13.1795181786757	-0.646249712102246	16.5462998434103	13.038048459551
VEGFA XCL1	-0.523313491888115	16.9407254135819	13.1377556471879	-0.0238476481433985	15.1183060037174	11.9852624148189	-0.132383114444973	16.1233848313219	12.7968781336892	-0.394380815855869	16.2582665066348	12.8823127556005
VEGFA XPNPEP1	-0.217996635564747	16.094501569151	12.3261593921376	-0.152581578104619	15.1279181942058	11.3118273967419	-0.308324973192736	16.1597767500888	12.4140796178705	-0.256996043539976	16.0565872675615	12.2698219122252
VEGFA XRCC6	-0.146595010328511	16.3312981205928	11.8892477727944	-0.501973950912083	16.0348873792567	12.2255209653275	-0.229931250442956	16.5293004411281	12.8333129357102	-0.304768108335192	16.5632650703051	12.4838967877455
VEGFA YES1	-0.103082755434924	16.109041979299	12.4858938803076	0.0577272317755727	14.5763465094944	10.6161634187445	-0.191338251615636	15.6800449799949	12.0020949533563	-0.082141874907512	15.5283378495278	11.8369002538404
VEGFA YWHAB	-0.827955119298587	16.6798911174344	12.8528906060996	-0.220436707614667	15.2589950971707	10.8560472998936	-0.387488435189557	16.3963532913066	12.2080659895499	-0.463087634710678	16.1272029323383	12.2225157732664
VEGFA YWHAB.YWHAE.YWHAG.YWHAH.YWHAQ.YWHAZ.SFN	-0.517259629934518	16.9543659207846	12.5231100360622	-0.165792425799598	15.2005817115916	10.9495163517539	-0.312567824534106	16.1204507482916	12.0200747539388	-0.381511086893231	16.3030170461106	12.1146572355076
VEGFA YWHAE	-0.0433854798469766	16.1981268042286	12.2870897491624	-0.363951262099719	15.5562388205508	11.7433580405849	0.0217192870174148	15.7755469495008	12.0230671061169	-0.148201032339489	15.909967935441	12.1228987476887
VEGFA YWHAQ	0.0506416952228964	15.3863249735366	11.6640694497166	0.00335698433480269	14.9223656069158	11.2496865603071	-0.124778500660628	15.6580768056831	12.3654894624754	-0.0574583409895184	15.4027347070978	11.8576685367958
VEGFA YWHAZ	-0.488396454084688	16.846529484815	13.0908002799553	-0.374449372265532	16.0841048945251	11.5396185001418	-0.375161634900418	16.592138230108	12.6037459931463	-0.366823751655593	16.7827277118636	12.5701473999344
VEGFA ZAP70	-0.235783973078239	16.4365712975226	13.3936463293748	-0.353509341948837	15.8927371003133	11.8912761396242	-0.302657452858644	16.6213415195137	12.9862910353989	-0.388617876817213	16.5295546701469	12.9739769400437
VEGFA ZNRF3	-0.115454219477992	16.0613944854424	12.4338835772926	-0.39744306798724	15.6126789779856	11.6693546143885	-0.331801540639016	16.4434065975772	13.1586686541346	-0.248114112304989	16.0542538909847	12.3677809522204
