protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
VTN VWF	-3.93936963353597	20.8068904812485	14.745759412719	-6.28748837606136	19.6970152429432	15.2098720155475	-3.38904688168184	20.575242807494	15.1164280086968	-5.70988596015439	20.6561170061412	15.443265423609
VTN WFIKKN1	-1.89002782101443	18.956277217869	13.8041396368908	-2.35882847221451	19.4207383337991	13.8371655678252	-1.95809977441114	19.8847673326395	14.5404283403127	-2.41708629240537	19.5749457939296	14.2990103360175
VTN WFIKKN2	-2.91754331876645	20.2200620462943	14.3434438578855	-4.89377321301161	19.5539993970045	14.9315889894951	-3.07002647159211	19.9738349745019	14.8660698969284	-4.36900174314561	20.3268227647539	15.0617712814823
VTN WIF1	-2.68906166767766	20.0816073791903	14.4638194500981	-3.57587694599592	19.4461177471946	14.6058855241472	-2.62247334002526	19.5891280448828	14.4078838010592	-3.50633648872812	20.2110894904121	14.934159918715
VTN WISP1	-3.36787350145809	19.6402429120696	14.1121344354879	-4.41403378638638	19.5598025866998	14.6660997696049	-3.32435792587126	19.8009149861253	14.7654180575925	-4.47844426694222	19.991878350049	14.7412174087494
VTN WISP3	-1.85869394244074	18.2651148069395	13.760823408435	-1.75791049906417	17.8688426872352	13.3171007859966	-2.09022112128849	18.63881768467	14.2847247240706	-2.58298029917462	18.4860647365719	14.1616258006551
VTN WNK3	-2.37721653836877	19.8376803617217	13.9784731253515	-2.98853304922119	19.1707982936819	14.3481146664215	-3.0692635169831	19.8321864725334	14.7815209786748	-3.63233685932116	19.9629851494302	14.6276564137758
VTN WNT7A	-3.40698797777897	20.0285170155273	14.6919434368919	-2.91374486763203	19.2836300494281	14.3503101771534	-3.07997590471256	19.7246403022553	14.6607880275607	-3.90107303649722	20.0371059516436	14.9703629038931
VTN XCL1	-1.23767394341756	17.5681985879437	13.100230885681	-1.22132124597091	17.1678646007214	13.1345767812549	-1.04821860344288	17.6856608377923	13.2596314175498	-1.69253117217887	18.0085209712352	13.8077572727085
VTN XPNPEP1	-0.994058467619601	17.5291970517995	12.7159646305045	-3.19420051438932	18.8886562582367	14.2848500487076	-1.50396760574775	18.6022165066427	13.8068200424711	-2.15029997483655	18.679021614046	13.9599625552526
VTN XRCC6	-3.84210434652313	20.7788504150666	15.2404781994654	-1.86702075697195	18.6018718900423	13.1923451235594	-2.81670656594421	20.0670801828712	14.6312331072571	-3.26003228797126	20.0612781962478	14.5748548548744
VTN YES1	-3.22964692151408	19.9260508151241	14.2148269185876	-1.16342021767502	17.5084947028019	13.0446888673986	-2.06931248537803	19.2503258368514	14.4069974676941	-2.26509896401663	19.1410953420458	14.0741413734664
VTN YWHAB	-2.3446725162722	19.9443789011886	13.6411670833259	-3.09318808181802	19.3242770633357	14.7359381309149	-2.69942446957634	19.8856143900172	14.8707798141959	-3.42105775817413	20.0592711852364	14.6873163985565
VTN YWHAB.YWHAE.YWHAG.YWHAH.YWHAQ.YWHAZ.SFN	-3.42682239528471	20.1151683356401	14.4688016234683	-3.34524306357513	19.4626550980406	14.8965249956084	-2.94581640417346	19.8383476820537	15.0889735537361	-3.65175744118727	20.2433378968706	15.0309541580164
VTN YWHAE	-2.73773315513064	19.9467678457065	14.0793684591258	-1.40735483216755	18.1720140828136	13.7296455321214	-2.04254012446074	19.1605211023269	14.1228962038002	-2.42076159743991	19.4620081789146	14.3414863791825
VTN YWHAQ	-3.41893979825088	20.4070290410783	14.3477160941164	-3.36746224315653	19.3295674583449	14.700826019413	-4.3290690430066	19.8795685476529	14.9981617942599	-4.4564858211838	20.2104504664001	15.0053454554524
VTN YWHAZ	-2.13152374517145	19.5442158363513	13.9776628368033	-4.91407056833538	19.8546759428663	15.2513180468135	-2.68894398467652	19.9158994670749	15.0137261562093	-3.70755229600331	20.0505272346429	15.0451330475243
VTN ZAP70	-3.36422902048612	20.1070211361418	14.9153363302435	-3.79812351624601	19.0654516935697	14.7015623732403	-2.58538413333434	19.5898133876902	14.8526819504048	-4.804290724339	20.0028042224282	15.2628839684887
VTN ZNRF3	-2.6870106643921	19.3146810607751	14.7366366970791	-2.09921753351362	18.2079501522508	13.5278047317627	-2.14534602260158	19.4646612409255	14.6359846916625	-3.41153412255874	19.2362381910032	14.6571469734303
