protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
VWF WFIKKN1	-1.63606950747353	18.5725151421152	13.707038947907	-4.15617232953907	20.4110604638369	14.9695514679219	-3.41787136616907	20.1286527901931	15.1180032252446	-2.8654536643102	20.0300873534064	14.8019367293316
VWF WFIKKN2	-11.3387702118581	22.213310789955	16.4764833293121	-11.9518493751581	21.5358038668057	15.994270325625	-18.9650766938213	22.4828776921058	16.9569251028897	-15.0723335188133	22.1129466261701	16.6461020007831
VWF WIF1	-7.56438579417282	20.7436339421844	15.5347658217847	-27.7632799175397	21.6368780968567	16.4240927780224	-12.2718684986481	21.6768119979588	16.6013948086428	-15.0954782943155	21.6302822591055	16.5149562117611
VWF WISP1	-3.99476771889325	20.9977901197095	15.0023871550342	-6.01208866729448	20.1134757123203	15.4426040066648	-4.93515540840142	21.1079347051257	15.8033608196869	-6.27116624559743	20.9551319218063	15.7617438723565
VWF WISP3	-1.56216277624783	18.6090302208178	13.9297104325005	-17.3987857743074	20.9268914889075	16.0799101769735	-4.50690216082855	20.3529818578282	15.6528716222094	-4.47960323647506	20.2655595897812	15.4750689861334
VWF WNK3	-8.69278990133504	20.5591370495425	15.5629910691431	-5.63839585201159	20.1952091270008	15.375176556907	-8.05323034748661	20.8791274386225	16.2799191625949	-9.5439222662131	20.8531254857708	16.0221198163997
VWF WNT7A	-6.76941639948751	20.7075530859873	15.9553260466857	-18.7490214979338	21.0125582580981	15.9541943500163	-14.9259809437516	21.6248387036333	16.8117848363227	-14.5451590256507	21.4670472321456	16.4908740882464
VWF XCL1	-1.64943100831386	20.063534047612	14.3033829732132	-7.653279044458	20.1560166587045	15.2217706284436	-3.64520700060936	20.4808993800099	15.6073116359718	-3.59484157832204	20.3551533113524	15.2777269262229
VWF XPNPEP1	-2.44939708951308	19.8036110102147	14.5471349519911	-12.7947457688566	21.4300669269582	15.9256143580749	-7.17234657581005	21.0243739539801	15.8740379934248	-5.50761732949714	20.8914064999696	15.7246897163334
VWF XRCC6	-13.1263695664474	21.7049932895404	16.2945926308261	-8.142043791866	21.2972153105881	15.5845859410381	-11.0399754928273	21.8592216865654	16.4154854796825	-10.714351624069	21.7957166314082	16.2844536361291
VWF YES1	-7.7958208519873	21.2770460324814	15.6632949920126	-1.24692667060748	18.6950775994158	13.3877456895831	-2.33056335747012	20.3819575881302	14.9155750445181	-2.80251744891802	20.190246967044	14.7653705973025
VWF YWHAB	-9.51793303264308	22.1620495107374	16.3901947299893	-6.15593932516097	20.8666203551606	15.4805393986044	-12.4603534824265	21.776562002965	16.4610690977254	-9.6247425378388	21.7056673764234	16.2822896807952
VWF YWHAB.YWHAE.YWHAG.YWHAH.YWHAQ.YWHAZ.SFN	-11.6284281222844	22.3353711527129	16.7907549519818	-6.25692994702332	20.9453629583257	15.4717669635275	-10.1553370359535	21.7191040360261	16.3701349878239	-8.64847855559148	21.8222974912604	16.3343682603105
VWF YWHAE	-10.4561514861477	21.3307356992659	16.2967605379208	-5.4473660549107	19.6449555023956	14.6738739485092	-5.00651934469785	20.8334643601782	15.6246843628745	-7.64994293538707	20.6865561542407	15.7518507192311
VWF YWHAQ	-9.42007912101125	21.8075755555304	16.2701961715889	-3.66340141189538	20.7344246189281	15.0386115862165	-6.00491532557117	21.4326432508998	16.0031750388981	-5.59259457117312	21.4084736829304	15.917424656007
VWF YWHAZ	-8.17420789676539	21.5184266860191	16.2145842018083	-15.427199006162	21.4975903035161	15.8154835096343	-10.2638222559911	21.7395612711649	16.36456029882	-10.8748946694907	21.7408736756251	16.3022232012028
VWF ZAP70	-6.3931671949852	20.7212177273272	15.7207799389294	-13.7948030605664	21.2568075018679	16.0224388047188	-11.10902918006	21.2310272877192	16.4378444840285	-11.6949100353482	21.3448529408009	16.3472807735617
VWF ZNRF3	-2.47954137513061	20.2207024494971	15.190736688293	-7.3453645494396	20.0269979508851	14.8728054558399	-10.3985687596794	20.9549055205636	16.3050239559822	-6.94838017195131	20.651897230573	15.7417567124411
