protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all	r2_all_sex_adjust	rmse_all_sex_adjust	mae_all_sex_adjust
WNK3 WNT7A	-12.2182187431284	20.9218148875668	16.6668578148743	-7.38124900554597	20.7906392958581	15.3844515009138	-18.4817899095162	21.4818107511292	16.9366795171033	-11.7726976968958	21.2642929635693	16.4869459606228
WNK3 XCL1	-1.94490020272184	19.174457532067	14.8390585520678	-3.43917790860385	19.3965637878341	15.2179725781881	-3.70326859936571	19.8878492999461	15.9748528202085	-3.35613847122206	19.5435802808863	15.3677552224635
WNK3 XPNPEP1	-2.04672678363262	18.3572522227249	14.4258341714444	-3.70055538857968	19.3449556519637	14.5829446247971	-3.44314218273932	20.1198205072873	15.6648055445115	-3.20401193797365	19.3934182260821	15.1376214794448
WNK3 XRCC6	-5.38661968607439	20.5780818815422	15.3014477315889	-3.81748606789249	19.8467361562203	15.0437464806266	-8.3118064048865	21.2878640408238	16.3230097578684	-5.6283477332534	20.6659461019333	15.5981288932937
WNK3 YES1	-4.15863716524709	19.7731271001302	14.7890511748259	-0.927907217956891	17.8420102241842	12.8656996627718	-2.08367560221143	19.5311573086293	14.830820249783	-2.19779516952838	19.1865289867304	14.1904053959931
WNK3 YWHAB	-5.65681950766791	20.8984609354562	15.7025860425973	-7.92131224479002	21.0635478233963	15.8332056617163	-9.88602045526772	21.7148055595349	16.8072232776394	-9.8933268225389	21.3217252966676	16.3068985762912
WNK3 YWHAB.YWHAE.YWHAG.YWHAH.YWHAQ.YWHAZ.SFN	-5.59344080878365	20.8633504962035	15.4818446169803	-5.56802911848248	20.663891094617	15.592455728611	-9.8207849781917	21.4605978293914	16.7512953072959	-8.20496480820252	21.147679239342	16.023548557651
WNK3 YWHAE	-4.68956968814485	20.5124339040735	15.7824867524838	-3.46824531800936	19.2736025366379	14.7744369651185	-5.36142315877037	20.4319608296189	15.9931383910816	-5.51547342349198	20.1248654333751	15.573946076935
WNK3 YWHAQ	-6.44208005496596	19.9025179308636	15.6259140487632	-7.69748272739049	20.7547405072431	16.0464053224189	-8.94446962397542	20.9671094238788	16.5690700199758	-8.61348393746737	20.6268204785857	16.1612565666422
WNK3 YWHAZ	-3.08881780187361	19.7465587210787	15.0392808145578	-7.64320901854051	20.4740612985228	15.8234323851403	-5.03386197538575	21.0848979858722	16.5282757085338	-7.76230969474238	20.5355028882415	16.2110113009022
WNK3 ZAP70	-8.33227950483322	20.515662444018	16.3675468154582	-5.05851733916418	19.8942786935826	15.4730372272315	-7.52079001162612	20.6722276452635	16.6561074608417	-7.4919609339566	20.4865327841839	16.1863394802203
WNK3 ZNRF3	-2.78745453987871	19.263641540099	14.6297705860014	-4.18593331956153	19.5738895012988	14.3205656162303	-4.25127575763296	19.830310964633	15.6722883420469	-4.74392333103704	20.0065629824743	15.2460571855301
